Category,Rating,Name,URL
Think Tank / Policy Group,,,http://www.allsides.com
Think Tank / Policy Group,center,AARP,http://www.allsides.com/news-source/aarp-0
Think Tank / Policy Group,right,Accuracy in Media ,http://www.allsides.com/news-source/accuracy-media
Think Tank / Policy Group,left-center,American Civil Liberties Union,http://www.allsides.com/news-source/american-civil-liberties-union
Think Tank / Policy Group,right,American Conservative Union,http://www.allsides.com/news-source/american-conservative-union
Think Tank / Policy Group,right-center,American Enterprise Institute,http://www.allsides.com/news-source/american-enterprise-institute
Think Tank / Policy Group,left,Americans for Democratic Action,http://www.allsides.com/news-source/americans-democratic-action
Think Tank / Policy Group,right,Americans for Tax Reform,http://www.allsides.com/news-source/americans-tax-reform
Think Tank / Policy Group,right,Atlas Network,http://www.allsides.com/news-source/atlas-network
Think Tank / Policy Group,right-center,AtlasOne,http://www.allsides.com/news-source/atlasone
Think Tank / Policy Group,center,Brookings Institution,http://www.allsides.com/news-source/brookings-institute
Think Tank / Policy Group,center,Carnegie Endowment for International Peace,http://www.allsides.com/news-source/carnegie-endowment-international-peace
Think Tank / Policy Group,right-center,Cato Institute,http://www.allsides.com/news-source/cato-institute
Think Tank / Policy Group,left-center,Center for American Progress,http://www.allsides.com/news-source/center-american-progress
Think Tank / Policy Group,left-center,Center for Media & Democracy PR Watch,http://www.allsides.com/news-source/center-media-democracy-pr-watch
Think Tank / Policy Group,left,Center on Budget and Policy Priorities,http://www.allsides.com/news-source/center-budget-and-policy-priorities-0
Think Tank / Policy Group,left,Children’s Defense Fund,http://www.allsides.com/news-source/childrens-defense-fund
Think Tank / Policy Group,center,CivilPolitics.org,http://www.allsides.com/news-source/civilpoliticsorg
Think Tank / Policy Group,left,Council on Foreign Relations,http://www.allsides.com/news-source/council-foreign-relations-0
Think Tank / Policy Group,left,Economic Policy Institute,http://www.allsides.com/news-source/economic-policy-institute-0
Think Tank / Policy Group,left,EdVotes.org,http://www.allsides.com/news-source/edvotesorg
Think Tank / Policy Group,left-center,Environmental Defense Fund,http://www.allsides.com/news-source/environmental-defense-fund
Think Tank / Policy Group,left-center,Fairness and Accuracy in Reporting ,http://www.allsides.com/news-source/fairness-and-accuracy-reporting
Think Tank / Policy Group,left-center,Federation of American Scientists,http://www.allsides.com/news-source/federation-american-scientists
Think Tank / Policy Group,left-center,Food Democracy Now,http://www.allsides.com/news-source/food-democracy-now
Think Tank / Policy Group,center,Freakonomics,http://www.allsides.com/news-source/freakonomics
Think Tank / Policy Group,right-center,Freedom House,http://www.allsides.com/news-source/freedom-house
Think Tank / Policy Group,right,GOP.gov,http://www.allsides.com/news-source/gopgov
Think Tank / Policy Group,left-center,Healthcare.gov,http://www.allsides.com/news-source/healthcaregov
Think Tank / Policy Group,right-center,Heritage Foundation,http://www.allsides.com/news-source/heritage-foundation
Think Tank / Policy Group,right-center,Independent Institute,http://www.allsides.com/news-source/independent-institute
Think Tank / Policy Group,right-center,Manhattan Institute,http://www.allsides.com/news-source/manhattan-institute
Think Tank / Policy Group,right,Media Research Center,http://www.allsides.com/news-source/media-research-center-0
Think Tank / Policy Group,left,National Committee to Preserve Social Security and Medicare,http://www.allsides.com/news-source/national-committee-preserve-social-security-and-medicare
Think Tank / Policy Group,center,National Interest,http://www.allsides.com/news-source/national-interest
Think Tank / Policy Group,left-center,New Economy Working Group,http://www.allsides.com/news-source/new-economy-working-group
Think Tank / Policy Group,right,NewsBusters,http://www.allsides.com/news-source/newsbusters
Think Tank / Policy Group,center,No Labels,http://www.allsides.com/news-source/no-labels
Think Tank / Policy Group,center,OpenSecrets.org,http://www.allsides.com/news-source/opensecretsorg
Think Tank / Policy Group,right,Pacific Research Institute,http://www.allsides.com/news-source/pacific-research-institute
Think Tank / Policy Group,left,People for the American Way,http://www.allsides.com/news-source/people-american-way
Think Tank / Policy Group,left,Physicians for a National Health Program,http://www.allsides.com/news-source/physicians-national-health-program
Think Tank / Policy Group,right,Prager University,http://www.allsides.com/news-source/prager-university
Think Tank / Policy Group,left-center,RAND Corporation,http://www.allsides.com/news-source/rand-corporation
Think Tank / Policy Group,right-center,Reason Foundation,http://www.allsides.com/news-source/reason-foundation
Think Tank / Policy Group,center,redefinED,http://www.allsides.com/news-source/redefined
Think Tank / Policy Group,center,Vote Smart,http://www.allsides.com/news-source/vote-smark
