Rating URL,Name,Category,URL,Rating
http://www.allsides.com/bias/center,FactCheck.org,News Media,http://www.allsides.com/news-source/factcheckorg,center
http://www.allsides.com/bias/center,Fair.org,News Media,http://www.allsides.com/news-source/fairorg,center
http://www.allsides.com/bias/left,Falls Church News - Press,News Media,http://www.allsides.com/news-source/falls-church-news-press,left
http://www.allsides.com/bias/right-center,Fiscal Times,News Media,http://www.allsides.com/news-source/fiscal-times,right-center
http://www.allsides.com/bias/center,FiveThirtyEight,News Media,http://www.allsides.com/news-source/fivethirtyeight-0,center
http://www.allsides.com/bias/center,Forbes,News Media,http://www.allsides.com/news-source/forbes,center
http://www.allsides.com/bias/right,Fox News,News Media,http://www.allsides.com/news-source/fox-news,right
http://www.allsides.com/bias/right,Fox News Latino,News Media,http://www.allsides.com/news-source/fox-news-latino,right
http://www.allsides.com/bias/right,Frank Miniter,News Media,http://www.allsides.com/news-source/frank-miniter,right
http://www.allsides.com/bias/right,FrontPage Magazine,News Media,http://www.allsides.com/news-source/frontpage-magazine,right
http://www.allsides.com/bias/left-center,Grist,News Media,http://www.allsides.com/news-source/grist,left-center
http://www.allsides.com/bias/center,Hampton Roads Messanger,News Media,http://www.allsides.com/news-source/hampton-roads-messanger,center
http://www.allsides.com/bias/left-center,Harvard Business School,News Media,http://www.allsides.com/news-source/harvard-business-school,left-center
http://www.allsides.com/bias/left,Herald Democrat,News Media,http://www.allsides.com/news-source/herald-democrat-0,left
http://www.allsides.com/bias/center,Honolulu Civil Beat,News Media,http://www.allsides.com/news-source/honolulu-civil-beat,center
http://www.allsides.com/bias/right-center,HotAir,News Media,http://www.allsides.com/news-source/hotair,right-center
http://www.allsides.com/bias/center,How Do We Fix It?,News Media,http://www.allsides.com/news-source/how-do-we-fix-it,center
http://www.allsides.com/bias/left,Huffington Post,News Media,http://www.allsides.com/news-source/huffington-post,left
http://www.allsides.com/bias/right-center,Independent Journal Review,News Media,http://www.allsides.com/news-source/independent-journal-review,right-center
http://www.allsides.com/bias/center,Indiana Daily Student,News Media,http://www.allsides.com/news-source/indiana-daily-student,center
http://www.allsides.com/bias/center,Indy Online,News Media,http://www.allsides.com/news-source/indy-online,center
http://www.allsides.com/bias/left-center,Indy Week,News Media,http://www.allsides.com/news-source/indy-week,left-center
http://www.allsides.com/bias/right,InfoWars,News Media,http://www.allsides.com/news-source/infowars,right
http://www.allsides.com/bias/center,Inside Philanthropy,News Media,http://www.allsides.com/news-source/inside-philanthropy,center
http://www.allsides.com/bias/right-center,Intellectual Conservative,News Media,http://www.allsides.com/news-source/intellectual-conservative,right-center
http://www.allsides.com/bias/center,International Business Times,News Media,http://www.allsides.com/news-source/international-business-times,center
http://www.allsides.com/bias/right-center,Investor's Business Daily,News Media,http://www.allsides.com/news-source/investors-business-daily,right-center
http://www.allsides.com/bias/center,IVN,News Media,http://www.allsides.com/news-source/ivn,center
http://www.allsides.com/bias/center,Journalist's Resource,News Media,http://www.allsides.com/news-source/journalists-resource,center
http://www.allsides.com/bias/right-center,Judicial Watch,News Media,http://www.allsides.com/news-source/judicial-watch,right-center
http://www.allsides.com/bias/right,KSL,News Media,http://www.allsides.com/news-source/ksl,right
http://www.allsides.com/bias/left-center,Las Vegas Sun,News Media,http://www.allsides.com/news-source/las-vegas-sun,left-center
http://www.allsides.com/bias/right-center,Leesburg Today,News Media,http://www.allsides.com/news-source/leesburg-today,right-center
http://www.allsides.com/bias/left,Left - Major Media Sources,News Media,http://www.allsides.com/news-source/left-major-publications,left
http://www.allsides.com/bias/right-center,Live Action News,News Media,http://www.allsides.com/news-source/live-action-news,right-center
http://www.allsides.com/bias/allsides,Living Room Conversations,News Media,http://www.allsides.com/news-source/living-room-conversations,allsides
